system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autoware,viewers,vscan_image_d_viewer,main,35.64477579994127,False,,1,9,5,4,0,0
autoware,viewers,traffic_light_viewer,main,31.730132600059733,False,,1,2,2,0,0,0
autoware,detected_objects_visualizer,visualize_detected_objects,main,43.721315200207755,True,static recovery process failed,,,,,,
autoware,detected_objects_visualizer,visualize_rects,main,53.277288399869576,True,static recovery process failed,,,,,,
autoware,lidar_euclidean_cluster_detect,lidar_euclidean_cluster_detect,main,55.081378099974245,True,static recovery process failed,,,,,,
autoware,lidar_fake_perception,lidar_fake_perception_node,main,81.37476379983127,True,static recovery process failed,,,,,,
autoware,lidar_naive_l_shape_detect,lidar_naive_l_shape_detect,main,72.01656250003725,True,static recovery process failed,,,,,,
autoware,lidar_svm_detect,lidar_svm_detect,main,39.904844200005755,False,,2,6,3,1,0,0
autoware,trafficlight_recognizer,tl_switch,main,33.2048696000129,False,,2,8,4,3,0,0
autoware,trafficlight_recognizer,region_tlr,main,41.02442860021256,True,static recovery process failed,,,,,,
autoware,trafficlight_recognizer,feat_proj,main,42.39430150017142,False,,1,17,15,2,0,0
autoware,trafficlight_recognizer,tlr_tuner,main,66.52986890007742,True,static recovery process failed,,,,,,
autoware,trafficlight_recognizer,roi_extractor,main,40.26937579992227,False,,1,7,3,1,0,0
autoware,trafficlight_recognizer,label_maker,main,52.43494329997338,True,static recovery process failed,,,,,,
autoware,trafficlight_recognizer,region_tlr_ssd,main,39.30839420016855,True,static recovery process failed,,,,,,
autoware,trafficlight_recognizer,region_tlr_mxnet,main,48.82984360004775,True,static recovery process failed,,,,,,
autoware,obj_fusion,obj_fusion,main,41.73336589988321,False,,1,9,6,0,0,0
autoware,lidar_pf_track,lidar_pf_track,main,32.98224400007166,False,,2,4,3,0,0,0
autoware,lidar_imm_ukf_pda_track,imm_ukf_pda,main,82.5164334999863,True,static recovery process failed,,,,,,
autoware,range_fusion,range_fusion,main,35.42071370012127,False,,1,7,5,2,0,0
autoware,lidar_kf_track,lidar_kf_track,main,90.15026049991138,True,static recovery process failed,,,,,,
autoware,lidar_euclidean_track,lidar_euclidean_track,main,37.80826530000195,False,,1,6,5,0,0,0
autoware,lidar_kf_contour_track,lidar_kf_contour_track,main,85.1821449000854,True,static recovery process failed,,,,,,
autoware,obj_reproj,obj_reproj,main,43.198740100022405,False,,1,9,7,2,0,0
