system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autoware,lidar_euclidean_cluster_detect,lidar_euclidean_cluster_detect,main,68.20366124,TRUE,static recovery process failed,,,,,,
autoware,lidar_fake_perception,lidar_fake_perception_node,main,146.480631,TRUE,static recovery process failed,,,,,,
autoware,lidar_naive_l_shape_detect,lidar_naive_l_shape_detect,main,95.50431541,FALSE,,2,10,3,0,0,0
autoware,lidar_svm_detect,lidar_svm_detect,main,65.17902682,FALSE,,2,6,3,1,0,0
autoware,trafficlight_recognizer,tl_switch,main,44.95809269,FALSE,,2,8,4,3,0,0
autoware,trafficlight_recognizer,region_tlr,main,52.31144072,FALSE,,1,12,10,2,0,0
autoware,trafficlight_recognizer,feat_proj,main,56.3859153,FALSE,,1,17,15,2,0,0
autoware,trafficlight_recognizer,tlr_tuner,main,114.2910586,TRUE,static recovery process failed,,,,,,
autoware,trafficlight_recognizer,roi_extractor,main,44.85036195,FALSE,,1,7,3,1,0,0
autoware,trafficlight_recognizer,label_maker,main,86.02608097,FALSE,,1,1,1,0,0,0
autoware,trafficlight_recognizer,region_tlr_ssd,main,47.55264294,TRUE,static recovery process failed,,,,,,
autoware,trafficlight_recognizer,region_tlr_mxnet,main,68.50895676,FALSE,,1,0,0,0,0,0
autoware,obj_fusion,obj_fusion,main,50.83316239,FALSE,,1,11,8,0,0,0
autoware,lidar_pf_track,lidar_pf_track,main,42.15296701,FALSE,,2,4,3,0,0,0
autoware,lidar_imm_ukf_pda_track,imm_ukf_pda,main,140.4030296,TRUE,static recovery process failed,,,,,,
autoware,range_fusion,range_fusion,main,47.7901649,FALSE,,1,7,5,2,0,0
autoware,lidar_kf_track,lidar_kf_track,main,162.7678965,FALSE,,2,12,6,0,0,0
autoware,lidar_euclidean_track,lidar_euclidean_track,main,42.52447412,FALSE,,1,6,5,0,0,0
autoware,lidar_kf_contour_track,lidar_kf_contour_track,main,169.2671907,FALSE,,4,42,21,0,0,0
autoware,obj_reproj,obj_reproj,main,47.40851033,FALSE,,1,9,7,2,0,0
